House name`/No,Meter Id,Latitude,Longitude,Zone,Place,0th Hour Units,1st Hour Units,2nd Hour Units,3rd Hour Units,4th Hour Units,5th Hour Units,6th Hour Units,7th Hour Units,8th Hour Units,9th Hour Units,10th Hour Units,11th Hour Units,12th Hour Units,13th Hour Units,14th Hour Units,15th Hour Units,16th Hour Units,17th Hour Units,18th Hour Units,19th Hour Units,20th Hour Units,21st Hour Units,22nd Hour Units,23rd Hour Units
House33,9037,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,3,3,2,2,2,15,2,2,2,3,5,2,3,4,4,3,3,2,4,4,2,2
House34,9038,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,3,3,3,2,2,2,3,1,1,1,1,2,1,2,3,4,15,4,4,3,4,4
House35,9039,43.64398,-79.42829,Peel Region,"Toronto, Canada",4,4,3,3,2,2,3,3,3,2,2,1,1,1,2,3,2,2,4,4,5,5,3,3
House36,9040,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House37,9041,43.64398,-79.42829,Peel Region,"Toronto, Canada",2,3,3,3,3,3,2,2,2,2,2,1,1,2,2,1,1,2,13,3,3,2,4,4
House38,9042,43.64398,-79.42829,Peel Region,"Toronto, Canada",2,3,3,3,2,4,3,3,2,2,2,3,2,1,1,1,1,1,4,3,5,4,3,3
House39,9043,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,3,3,3,2,2,12,3,2,1,1,1,2,1,2,3,4,5,4,4,3,4,3
House40,9044,43.64398,-79.42829,Peel Region,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House41,9045,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House42,9046,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,2,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House43,9047,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,3,3,4,3,3,3,2,3,2,3,4,2,3,3,2,4,5,3,2,5,3,3
House44,9048,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,3,3,3,2,2,13,3,1,1,1,1,2,1,2,3,4,4,4,4,3,4,4
House45,9049,43.64398,-79.42829,Peel Region,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House46,9050,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House47,9051,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,3,3,3,2,2,13,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,2
House48,9052,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House49,9053,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House50,9054,43.64398,-79.42829,Peel Region,"Toronto, Canada",3,3,2,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
