House name`/ No,Meter Id,Latitude,Longitude,Zone,Place,0th Hour Units,1st Hour Units,2nd Hour Units,3rd Hour Units,4th Hour Units,5th Hour Units,6th Hour Units,7th Hour Units,8th Hour Units,9th Hour Units,10th Hour Units,11th Hour Units,12th Hour Units,13th Hour Units,14th Hour Units,15th Hour Units,16th Hour Units,17th Hour Units,18th Hour Units,19th Hour Units,20th Hour Units,21st Hour Units,22nd Hour Units,23rd Hour Units
House51,9055,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,3,2,2,2,2,2,2,2,3,5,2,3,4,4,3,13,2,4,4,2,2
House52,9056,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,3,3,2,2,2,3,1,1,1,1,2,1,2,3,4,15,4,4,3,4,4
House53,9057,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House54,9058,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House55,9059,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",2,3,3,3,3,3,2,2,12,2,2,1,1,2,2,1,1,2,3,3,3,2,4,4
House56,9060,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,3,2,4,3,3,2,2,2,3,2,1,1,1,1,1,4,3,5,4,3,3
House57,9061,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,1,2,1,2,3,4,4,4,4,3,4,4
House58,9062,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House59,9063,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,4,3,2,3,3,3
House60,9064,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,3,3,2,5,3,3
House61,9065,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,3,3,2,5,3,3
House62,9066,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,2,2,1,2,3,4,2,4,4,3,4,4
House63,9067,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House64,9068,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House65,9069,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,1,2,1,2,3,4,4,4,4,3,4,4
House66,9070,43.68772,-79.43538,Mulberry Crescent,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
