House name`/ No,Meter Id,Latitude,Longitude,Zone,Place,0th Hour,1st Hour,2nd Hour,3rd Hour,4th Hour,5th Hour,6th Hour,7th Hour,8th Hour,9th Hour,10th Hour,11th Hour,12th Hour,13th Hour,14th Hour,15th Hour,16th Hour,17th Hour,18th Hour,19th Hour,20th Hour,21st Hour,22nd Hour,23rd Hour
House73,9073,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,3,2,2,2,2,2,2,2,3,5,2,3,4,4,3,3,2,4,4,2,2
House74,9074,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,3,3,2,2,2,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,4
House75,9075,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House76,9076,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House77,9077,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",2,3,3,3,3,3,2,2,14,2,2,1,1,2,2,1,1,2,3,3,3,2,4,4
House78,9078,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,3,2,4,3,3,2,2,2,3,2,1,1,1,1,1,4,3,5,4,3,3
House79,9079,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,3,3,2,2,2,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,4
House80,9080,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House81,9081,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House82,9082,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House83,9083,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House84,9084,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,3,3,2,2,2,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,4
House85,9085,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House86,9086,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House87,9087,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,3,3,2,2,3,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,4
House88,9088,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House89,9089,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House90,9090,43.65971,-79.4361,Bloor Village West,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
