House name`/ No,Meter Id,Latitude,Longitude,Zone,Place,0th Hour Units,1st Hour Units,2nd Hour Units,3rd Hour Units,4th Hour Units,5th Hour Units,6th Hour Units,7th Hour Units,8th Hour Units,9th Hour Units,10th Hour Units,11th Hour Units,12th Hour Units,13th Hour Units,14th Hour Units,15th Hour Units,16th Hour Units,17th Hour Units,18th Hour Units,19th Hour Units,20th Hour Units,21st Hour Units,22nd Hour Unis,23rd Hour Units,
House91,9091,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,3,2,2,2,12,2,2,2,3,5,2,3,4,4,3,3,2,4,4,2,2,
House92,9092,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,4,
House93,9093,43.65051,-79.38736,Simcoe County,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,14,4,3,5,5,3,3,
House94,9094,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,12,5,3,2,3,3,3,
House95,9095,43.65051,-79.38736,Simcoe County,"Toronto, Canada",2,3,3,3,3,3,2,2,14,2,2,1,1,2,2,1,1,2,3,3,3,2,4,4,
House96,9096,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,3,2,4,3,3,2,2,2,3,2,1,1,1,1,13,4,3,5,4,3,3,
House97,9097,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,4,
House98,9098,43.65051,-79.38736,Simcoe County,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,12,4,5,5,3,3,
House99,9099,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3,
House100,9100,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,14,3,2,5,3,3,
House101,9101,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3,
House102,9102,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,1,2,1,2,3,4,3,4,4,3,4,4,
House103,9103,43.65051,-79.38736,Simcoe County,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,15,4,5,5,3,3,
House104,9104,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,3,14,2,3,3,3,
House105,9105,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,1,2,1,2,3,4,4,4,4,3,4,4,
House106,9106,43.65051,-79.38736,Simcoe County,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,14,3,2,5,3,3,
