House name`/ No,Meter Id,Latitude,Longitude,Zone,Place,0th Hour Units,1st Hour Units,2nd Hour Units,3rd Hour Units,4th Hour Units,5th Hour Units,6th Hour Units,7th Hour  Units,8th Hour Units,9th Hour Units,10th Hour Units,11th Hour Units,12th Hour Units,13th Hour Units,14th Hour Units,15th Hour Units,16th Hour Units,17th Hour Units,18th Hour Units,19th Hour Units,20th Hour Units,21st Hour Units,22nd Hour Units,23rd Hour Units
House107,9107,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,3,3,3,2,2,2,15,2,2,2,3,5,2,3,4,4,3,3,2,4,4,2,2
House108,9108,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,3,3,3,3,2,2,2,3,1,1,1,1,2,1,2,3,4,15,4,4,3,4,4
House109,9109,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",4,4,3,3,2,2,3,3,3,2,2,1,1,1,2,3,2,2,4,4,5,5,3,3
House110,9110,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House111,9111,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",2,3,3,3,3,3,2,2,2,2,2,1,1,2,2,1,1,2,13,3,3,2,4,4
House112,9112,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",2,3,3,3,2,4,3,3,2,2,2,3,2,1,1,1,1,1,4,3,5,4,3,3
House113,9113,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,3,3,3,3,2,2,12,3,2,1,1,1,2,1,2,3,4,5,4,4,3,4,3
House114,9114,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House115,9115,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House116,9116,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,3,2,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House117,9117,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,3,3,3,4,3,3,3,2,3,2,3,4,2,3,3,2,4,5,3,2,5,3,3
House118,9118,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,3,3,3,3,2,2,13,3,1,1,1,1,2,1,2,3,4,4,4,4,3,4,4
House119,9119,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House120,9120,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House121,9121,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,3,3,3,3,2,2,13,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,2
House122,9122,43.87587,-79.43827,Richmond Hill,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
